Row,mu,log_sigma,Q,log_P,beta_SEXM,beta_ADM_AGE_GROUP_50to54,beta_ADM_AGE_GROUP_55to59,beta_ADM_AGE_GROUP_60to64,beta_ADM_AGE_GROUP_65to69,beta_ADM_AGE_GROUP_70to74,beta_ADM_AGE_GROUP_75to79,beta_ADM_AGE_GROUP_80to84,beta_ADM_AGE_GROUP_90to94,beta_ADM_AGE_GROUP_95to99,beta_ADM_AGE_GROUP_100plus,beta_COUNTRY_OF_BIRTH_OTHER,beta_PREFERRED_LANGUAGE_other,beta_ORGANISATION_TYPE_Government,beta_ORGANISATION_TYPE_Private,beta_SERVICE_SIZE_0to20,beta_SERVICE_SIZE_21to40,beta_SERVICE_SIZE_41to60,beta_SERVICE_SIZE_61to80,beta_SERVICE_SIZE_81to100,beta_ACPR_SES_Q1,beta_ACPR_SES_Q2,beta_ACPR_SES_Q3,beta_ACPR_SES_Q4,beta_REMOTENESS_Inner,beta_REMOTENESS_Outer,beta_STATE_VIC,beta_STATE_QLD,beta_STATE_WA,beta_STATE_SA,beta_STATE_TAS,beta_STATE_ACT,beta_STATE_NT
mu,60699.5424795888,22242.4433848177,-16091.0972037384,2098.53173393578,21604.2991056095,195.071061666582,468.193493004399,817.174686700808,1740.00119935602,3729.66128671503,8056.30401871925,15399.6701707769,9964.20999538172,2558.45543341675,270.441056490362,16983.8779519956,5551.42293116045,3311.91246222937,23922.3004983867,714.491741958885,4409.39475320842,8293.28973563156,9951.91493881934,9879.19172331272,3114.01579646227,10185.8513764558,9433.20222636472,14391.7844561296,13557.1283068881,4815.85471507619,15712.2120385921,10853.7750983329,5041.22656629023,6094.27747662897,1701.4130525086,634.154098960478,112.435473458129
log_sigma,22242.4433848177,70782.52734375,10343.0810666024,4897.712890625,8979.611328125,38.225853880215,88.087890625,174.5625,590.556640625,1343.40234375,2921.8125,5695.72265625,3776.8984375,1020.609375,103.689453125,6231.69921875,1983.962890625,1252.41015625,9897.568359375,115.224609375,1047.0234375,2330.87890625,3642.30859375,3830.919921875,1162.818359375,3863.94921875,3356.90625,5318.45703125,5111.14453125,1635.779296875,5681.080078125,3995.109375,1805.998046875,2276.875,663.9140625,217.96875,35.658203125
Q,-16091.0972037384,10343.0810666024,11196.5733024337,232.337262932062,-6681.59182967907,-67.2964391372746,-132.465536612778,-233.663691948145,-537.442051722678,-1053.15199490621,-2163.20333327429,-4058.01860810228,-2603.00323460382,-686.698503960712,-76.1135219409647,-4523.46788167719,-1480.81055500402,-870.711966561129,-6884.93372428333,-198.07317491938,-1139.56465600815,-2233.0971109528,-2699.53440548473,-2618.74301780124,-851.692563138548,-2786.18754305308,-2402.21517831026,-3888.26724977898,-3573.71097416826,-1283.96914189449,-4083.54284553482,-2821.99242145688,-1327.76850264543,-1612.86151454122,-476.849599088865,-168.946143005904,-30.0182094066447
log_P,2098.53173393578,4897.712890625,232.337262932062,417.1015625,1033.890625,4.78774254660138,7.13671875,15.609375,61.126953125,141.77734375,282.1875,560.9453125,347.134765625,88.81640625,10.7578125,581.810546875,189.962890625,121.80078125,1018.0390625,12.294921875,106.2421875,221.80078125,359.466796875,349.71875,110.509765625,380.806640625,317.26953125,524.23046875,487.64453125,166.8984375,532.53515625,350.7734375,178.064453125,219.279296875,71.052734375,23.5625,4.638671875
beta_SEXM,21604.2991056095,8979.611328125,-6681.59182967907,1033.890625,21613.75,133.134242582112,322.134765625,550.72265625,1090.568359375,1880.935546875,3185.859375,5340.904296875,2912.369140625,637.16015625,59.443359375,6451.6953125,2023.4609375,1359.330078125,8753.8828125,264.60546875,1642.291015625,2917.701171875,3443.029296875,3697.224609375,1114.357421875,3890.5078125,3408.560546875,5301.166015625,4964.921875,1824.953125,5432.05859375,4128.54296875,1794.5078125,2039.048828125,629.736328125,232.068359375,52.537109375
beta_ADM_AGE_GROUP_50to54,195.071061666582,38.225853880215,-67.2964391372746,4.78774254660138,133.134242582112,195.136183693614,-0.00380432462979847,-0.00380432462979847,-0.00380432462979847,-0.00380432462979847,-0.00760864925959694,0.00190216231489924,0,0.00380432462979847,0.00380432462979847,14.517302787311,8.27440606981168,29.1981915337033,81.0492340755415,6.39697186500613,16.7504413450027,27.3473876013063,32.6753442453391,31.9373052671582,8.68717529214481,31.4465473899142,38.5758517461565,51.1187100506021,40.8546421994058,20.3797670418304,59.8743631860832,31.128886283326,15.7841428890339,7.19968436189361,0.180705419915427,3.96791058887981,2.70297264947181
beta_ADM_AGE_GROUP_55to59,468.193493004399,88.087890625,-132.465536612778,7.13671875,322.134765625,-0.00380432462979847,468.291015625,0,0,0,0,0.001953125,0,0,0,112.96484375,38.142578125,47.150390625,212.48828125,7.115234375,46.333984375,79.505859375,77.625,74.455078125,31.615234375,83.515625,77.99609375,115.015625,97.607421875,47.73828125,114.806640625,89.396484375,48.26953125,54.724609375,13.244140625,3.88671875,0.197265625
beta_ADM_AGE_GROUP_60to64,817.174686700808,174.5625,-233.663691948145,15.609375,550.72265625,-0.00380432462979847,0,817.396484375,0,0,0,0.001953125,0,0.00390625,0,234.89453125,75.58203125,37.58984375,304.48828125,10.580078125,72.30859375,115.822265625,181.8203125,117.0546875,41.369140625,144.173828125,135.51171875,171.51171875,146.3828125,87.8125,143.42578125,158.974609375,106.8828125,57.884765625,45.859375,15.41796875,0.4921875
beta_ADM_AGE_GROUP_65to69,1740.00119935602,590.556640625,-537.442051722678,61.126953125,1090.568359375,-0.00380432462979847,0,0,1740.46484375,0,0,0.00390625,0,0,0,480.2265625,137.76171875,162.9140625,737.455078125,18.376953125,156.5625,215.4453125,285.884765625,313.4453125,84.87109375,310.029296875,282.859375,464.658203125,356.8671875,172.84765625,451.99609375,338.337890625,142.765625,170.03125,30.525390625,15.50390625,2.58984375
beta_ADM_AGE_GROUP_70to74,3729.66128671503,1343.40234375,-1053.15199490621,141.77734375,1880.935546875,-0.00380432462979847,0,0,0,3730.736328125,-0.00390625,0.00390625,0,0,0,1132.1953125,452.59375,260.283203125,1446.5234375,33.37890625,262.486328125,529.744140625,626.171875,656.11328125,221.330078125,591.548828125,626.384765625,1013.3984375,814.458984375,306.787109375,930.478515625,730.498046875,314.78515625,344.412109375,84.580078125,39.34375,15.841796875
